,Callsign,Tag,Number,IATA,ICAO
115,Airfast Indonesia,AFE,6 ,,AFE
116,Airlines PNG,CG / TOK,3 ,CG , TOK
117,Airlink,4Z / LNK,41 ,4Z , LNK
118,Airnorth,TL / ANO,9 ,TL , ANO
119,AirSERBIA,JU / ASL,22 ,JU , ASL
120,Airwork,AWK,9 ,,AWK
121,AIS Airlines,IS / PNX,9 ,IS , PNX
122,Ak Bars Aero,2B / BGM,13 ,2B , BGM
123,Al-Naser Airlines,NR / MHK,2 ,NR , MHK
124,Alas Uruguay,YZ / ALY,3 ,YZ , ALY
125,Alaska Airlines,AS / ASA,162 ,AS , ASA
126,Alaska Central Express,KO / AER,8 ,KO , AER
127,AlbaStar,AP / LAV,4 ,AP , LAV
128,Alitalia,AZ / AZA,121 ,AZ , AZA
129,Alkan Air,AKN,11 ,,AKN
130,All Nippon Airways,NH / ANA,209 ,NH , ANA
131,Allegiant Air,G4 / AAY,85 ,G4 , AAY
132,Alliance Airlines,QQ / UTY,28 ,QQ , UTY
133,Allied Air,4W / AJK,3 ,4W , AJK
134,AlMasria Universal Airlines,UJ / LMU,6 ,UJ , LMU
135,Aloha Air Cargo,KH / AAH,5 ,KH , AAH
136,Alpine Air Express,5A / AIP,4 ,5A , AIP
137,Alrosa,6R / DRU,12 ,6R , DRU
138,Amakusa Airlines,MZ / AHX,1 ,MZ , AHX
139,Amapola Flyg,HP / APF,14 ,HP , APF
140,Amaszonas,Z8 / AZN,9 ,Z8 , AZN
141,American Airlines,AA / AAL,957 ,AA , AAL
142,Ameriflight,A8 / AMF,156 ,A8 , AMF
143,Amerijet International,M6 / AJT,8 ,M6 , AJT
144,Ameristar Jet Charter,7Z / AJI,7 ,7Z , AJI
145,ANA Wings,EH / AKX,39 ,EH , AKX
146,Andes Lineas Aereas,OY / ANS,6 ,OY , ANS
147,Angara Airlines,2G / AGU,5 ,2G , AGU
148,Antonov Design Bureau,ADB,20 ,,ADB
149,Arcus-Air,ZE / AZE,9 ,ZE , AZE
150,Ariana Afghan Airlines,FG / AFG,5 ,FG , AFG
151,Arik Air,W3 / ARA,24 ,W3 , ARA
152,Arkia Israeli Airlines,IZ / AIZ,10 ,IZ , AIZ
153,Armavia,U8 / RNV,2 ,U8 , RNV
154,Armenia,RM / NGT,2 ,RM , NGT
155,Aserca Airlines,R7 / OCA,6 ,R7 , OCA
156,Asiana Airlines,OZ / AAR,84 ,OZ , AAR
157,ASKY,KP / SKK,8 ,KP , SKK
158,ASL Airlines France,5O / FPO,16 ,5O , FPO
159,ASL Airlines Hungary,FAH,5 ,,FAH
160,ASL Airlines Ireland,ABR,18 ,,ABR
161,ASL Airlines Switzerland,FAT,12 ,,FAT
162,Astar Air Cargo,ER / DHL,4 ,ER , DHL
163,Astra Airlines,A2 / AZI,5 ,A2 , AZI
164,ATA Airlines,I3 / TBZ,10 ,I3 , TBZ
165,Atlantic Airlines,NPT,17 ,,NPT
166,Atlantic Airways,RC / FLI,10 ,RC , FLI
167,Atlantis European Airways,TD / LUR,1 ,TD , LUR
168,Atlas Air,5Y / GTI,29 ,5Y , GTI
169,Atlas Blue,8A / BMM,1 ,8A , BMM
170,AtlasGlobal UA,UH / UJX,3 ,UH , UJX
171,Atlasjet,KK / KKK,25 ,KK , KKK
172,Atrak Air,ATR,2 ,,ATR
173,Atran,V8 / VAS,6 ,V8 , VAS
174,Aurela,LSK,1 ,,LSK
175,Aurigny Air Services,GR / AUR,12 ,GR , AUR
176,Aurora,HZ / SHU,19 ,HZ , SHU
177,Austral,AU / AUT,26 ,AU , AUT
178,Austrian Airlines,OS / AUA,82 ,OS , AUA
179,Avantair,VNR,4 ,,VNR
180,Avcon Jet,AOJ,11 ,,AOJ
181,Averitt Air,VRT,2 ,,VRT
182,Avia Traffic,YK / AVJ,5 ,YK , AVJ
183,Aviacon Zitotrans,ZR / AZS,12 ,ZR , AZS
184,Aviaenergo,7U / ERG,4 ,7U , ERG
185,Avianca,AV / AVA,96 ,AV , AVA
186,Avianca Brazil,O6 / ONE,47 ,O6 , ONE
187,Avianca Cargo,QT / TPA,5 ,QT , TPA
188,Avianca Ecuador,2K / GLG,10 ,2K , GLG
189,Aviastar-TU,4B / TUP,3 ,4B , TUP
190,Aviateca,GU / GUG,6 ,GU , GUG
191,Avient Aviation,Z3 / SMJ,2 ,Z3 , SMJ
192,Avies,U3 / AIA,14 ,U3 , AIA
193,Avion Express,X9 / NVD,9 ,X9 , NVD
194,Avior Airlines,9V / ROI,17 ,9V , ROI
195,Azerbaijan Airlines,J2 / AHY,30 ,J2 , AHY
196,Azman Air,AZM,3 ,,AZM
197,Azores Airlines,S4 / RZO,7 ,S4 , RZO
198,Azul Brazilian Airlines,AD / AZU,130 ,AD , AZU
199,Azur Air,ZF / KTK,15 ,ZF , KTK
200,Azur Air Ukraine,QU / UTN,3 ,QU , UTN
201,Badr Airlines,J4 / BDR,1 ,J4 , BDR
202,Bahamasair,UP / BHS,8 ,UP , BHS
203,Bangkok Airways,PG / BKP,33 ,PG , BKP
204,Batik Air,ID / BTK,39 ,ID , BTK
205,Bearskin Airlines,JV / BLS,16 ,JV , BLS
