,Callsign,Tag,Number,IATA,ICAO
500,Jubba Airways,3J / JBW,2 ,3J , JBW
501,Juneyao Airlines,HO / DKH,58 ,HO , DKH
502,K5-Aviation Germany,KAY,5 ,,KAY
503,KaiserAir,KI / KAI,3 ,KI , KAI
504,Kalitta Air,K4 / CKS,18 ,K4 , CKS
505,Kalitta Charters,K9 / KFS,32 ,K9 , KFS
506,KalStar Aviation,KD / KLS,12 ,KD , KLS
507,Kam Air,RQ / KMF,6 ,RQ , KMF
508,Kan Air,K8 / KND,2 ,K8 , KND
509,Kelowna Flightcraft Air,FK / KFA,19 ,FK , KFA
510,Kenmore Air,M5 / KEN,2 ,M5 , KEN
511,Kenn Borek Air,4K / KBA,32 ,4K , KBA
512,Kenya Airways,KQ / KQA,35 ,KQ , KQA
513,Key Lime Air,KG / LYM,9 ,KG , LYM
514,Kharkiv Airlines,KW / KHK,1 ,KW , KHK
515,Khors Air,KHO,6 ,,KHO
516,Kish Air,Y9 / IRK,16 ,Y9 , IRK
517,KLM,KL / KLM,118 ,KL , KLM
518,KLM cityhopper,WA / KLC,47 ,WA , KLC
519,KMV Avia,KV / MVD,7 ,KV , MVD
520,Komiaviatrans,KO / KMA,6 ,KO , KMA
521,Korean Air,KE / KAL,169 ,KE , KAL
522,Kosmos Airlines,KSM,15 ,,KSM
523,Kunming Airlines,KY / KNA,17 ,KY , KNA
524,Kuwait Airways,KU / KAC,32 ,KU , KAC
525,La Compagnie,B0 / DJT,2 ,B0 , DJT
526,LAM Mozambique Airlines,TM / LAM,7 ,TM , LAM
527,LAN Airlines,LA / LAN,89 ,LA , LAN
528,LAN Peru,LP / LPE,26 ,LP , LPE
529,Lao Airlines,QV / LAO,11 ,QV , LAO
530,Laser Airlines,QL / LER,12 ,QL , LER
531,LATAM Airlines Argentina,4M / DSM,16 ,4M , DSM
532,LATAM Airlines Colombia,4C / ARE,17 ,4C , ARE
533,LATAM Cargo Mexico,M7 / MAA,1 ,M7 , MAA
534,LC Peru,W4 / LCB,4 ,W4 , LCB
535,LIAT,LI / LIA,9 ,LI , LIA
536,Libyan Airlines,LN / LAA,8 ,LN , LAA
537,Limitless Airways,LIM,1 ,,LIM
538,Lion Airlines,JT / LNI,117 ,JT , LNI
539,Loganair,LM / LOG,11 ,LM , LOG
540,Loong Airlines,GJ / CDC,20 ,GJ , CDC
541,LOT,LO / LOT,43 ,LO , LOT
542,Lucky Air,8L / LKE,29 ,8L , LKE
543,Lufthansa,LH / DLH,273 ,LH , DLH
544,Lufthansa Cargo,GEC,17 ,,GEC
545,Lufthansa CityLine,CL / CLH,52 ,CL , CLH
546,Lufttransport,L5 / LTR,18 ,L5 , LTR
547,Luxair,LG / LGL,17 ,LG , LGL
548,Lynden Air Cargo,L2 / LYC,2 ,L2 , LYC
549,Mahan Air,W5 / IRM,54 ,W5 , IRM
550,Malawian Airlines,3W / MWI,2 ,3W , MWI
551,Malaysia Airlines,MH / MAS,85 ,MH , MAS
552,Maldivian,Q2 / DQA,16 ,Q2 , DQA
553,Malindo Air,OD / MXD,33 ,OD , MXD
554,Mandarin Airlines,AE / MDA,9 ,AE , MDA
555,Mango,JE / MNO,10 ,JE , MNO
556,Martinair Holland,MP / MPH,7 ,MP , MPH
557,MASwings,MWG,14 ,,MWG
558,Mauritania Airlines International,L6 / MAI,4 ,L6 , MAI
559,Max Aviation,MAX,9 ,,MAX
560,MCHS Rossii,SUM,12 ,,SUM
561,MEA,ME / MEA,21 ,ME , MEA
562,Med-View Airline,VL / MEV,8 ,VL , MEV
563,Mega Maldives,LV / MEG,5 ,LV , MEG
564,Meraj Air,IJ / MRJ,12 ,IJ , MRJ
565,Meridiana,IG / ISS,23 ,IG , ISS
566,Mesa Airlines,YV / ASH,129 ,YV , ASH
567,MHS Aviation,M2 / MHV,10 ,M2 , MHV
568,Miami Air International,LL / BSK,4 ,LL , BSK
569,MIAT Mongolian Airlines,OM / MGL,6 ,OM , MGL
570,Mihin Lanka,MJ / MLR,4 ,MJ , MLR
571,Minoan Air,MAV,4 ,,MAV
572,Mint Airways,IM / MIC,1 ,IM , MIC
573,Mistral Air,M4 / MSA,8 ,M4 , MSA
574,MJet,MJF,17 ,,MJF
575,MNG Airlines,MB / MNB,20 ,MB , MNB
576,Mokulele Airlines,MW / BUG,8 ,MW , BUG
577,Monarch Airlines,ZB / MON,34 ,ZB , MON
578,Montenegro Airlines,YM / MGX,6 ,YM , MGX
579,Morningstar Air Express,MAL,3 ,,MAL
580,Motor Sich Airlines,M9 / MSI,10 ,M9 , MSI
581,MRK Airlines,6V / MRW,2 ,6V , MRW
582,Myanmar Airways International,8M / MMA,6 ,8M , MMA
583,Myanmar National Airlines,UB / UBA,9 ,UB , UBA
584,MyCargo Airlines,9T / RUN,3 ,9T , RUN
585,Naft Airlines,NV / IRG,8 ,NV , IRG
586,National Airlines,N8 / NCR,5 ,N8 , NCR
587,National Jet Express,JTE,19 ,,JTE
588,Nature Air,5C / NRR,1 ,5C , NRR
589,Neos,NO / NOS,9 ,NO , NOS
590,Nesma Airlines,NE / NMA,6 ,NE , NMA
591,NetJets,NJE,155 ,,NJE
592,NetJets,1I / EJA,512 ,1I , EJA
593,NewGen Airways,E3 / VGO,7 ,E3 , VGO
594,NextJet,2N / NTJ,19 ,2N , NTJ
595,NightExpress,EXT,2 ,,EXT
596,Niki,HG / NLY,19 ,HG , NLY
597,Nile Air,NP / NIA,6 ,NP , NIA
598,Nippon Cargo Airlines,KZ / NCA,12 ,KZ , NCA
599,Nok Air,DD / NOK,32 ,DD , NOK
600,Nordavia,5N / AUL,11 ,5N , AUL
601,Nordic Regional Airlines,FCM,12 ,,FCM
602,NordStar,Y7 / TYA,15 ,Y7 , TYA
603,Nordwind Airlines,N4 / NWS,8 ,N4 , NWS
604,Norsk Helikopterservice,NKH,2 ,,NKH
605,North Caribou Flying Service,NCB,34 ,,NCB
606,North Flying,M3 / NFA,8 ,M3 , NFA
607,Northern Air Cargo,NC / NAC,5 ,NC , NAC
608,Norwegian,DY / NAX,113 ,DY , NAX
609,Nouvelair Tunisie,BJ / LBT,7 ,BJ , LBT
610,Nova Airways,O9 / NOV,3 ,O9 , NOV
611,Novair,N9 / NVR,1 ,N9 , NVR
612,Novoair,VQ / NVQ,6 ,VQ , NVQ
613,Okay Airways,BK / OKA,20 ,BK , OKA
614,Olympic Air,OA / OAL,16 ,OA , OAL
615,Olympus Airways,OLY,5 ,,OLY
616,Oman Air,WY / OMA,45 ,WY , OMA
617,Omni,OC / OAV,8 ,OC , OAV
618,Omni Air International,OY / OAE,4 ,OY , OAE
619,Onur Air,8Q / OHY,21 ,8Q , OHY
620,Open Skies,EC / BOS,4 ,EC , BOS
621,Orbest,6O / OBS,2 ,6O , OBS
622,Orient Thai Airlines,OX / OEA,23 ,OX , OEA
623,Our Airline,ON / RON,6 ,ON , RON
624,Oxford Aviation Academy,OXF,29 ,,OXF
625,Pacific Airlines,BL / PIC,13 ,BL , PIC
626,Pacific Coastal Airlines,8P / PCO,23 ,8P , PCO
627,Pakistan Int. Airlines,PK / PIA,36 ,PK , PIA
628,PAL Express,2P / GAP,19 ,2P , GAP
629,Pascan Aviation,P6 / PSC,24 ,P6 , PSC
630,Passaredo Linhas Aereas,2Z / PTB,15 ,2Z , PTB
631,PAWA Dominicana,7N / PWD,4 ,7N , PWD
632,Peach Aviation,MM / APJ,17 ,MM , APJ
633,Pegasus Airlines,PC / PGT,72 ,PC , PGT
634,Pegasus Asia,ZM / MBB,3 ,ZM , MBB
635,Penair,KS / PEN,19 ,KS , PEN
636,People's Viennaline,PE / PEV,1 ,PE , PEV
637,Perimeter Aviation,YP / PAG,35 ,YP , PAG
638,Peruvian Airlines,P9 / PVN,6 ,P9 , PVN
639,Philippine Airlines,PR / PAL,60 ,PR , PAL
640,Philippines AirAsia,Z2 / EZD,15 ,Z2 , EZD
641,Piedmont Airlines,PDT,42 ,,PDT
642,Pobeda,DP / PBD,12 ,DP , PBD
643,Polar Air Cargo,PO / PAC,15 ,PO , PAC
644,Porter Airlines,PD / POE,26 ,PD , POE
645,Precision Air,PW / PRF,7 ,PW , PRF
646,Presidential Aviation,PRD,1 ,,PRD
647,Primera Air,6F / PRW,6 ,6F , PRW
648,Primera Air,PF / PRI,1 ,PF , PRI
649,Private Wings,8W / PWF,11 ,8W , PWF
650,Privilege Style,PVG,4 ,,PVG
651,Proflight Air Services,P0 / PFZ,1 ,P0 , PFZ
652,PSA Airlines,OH / JIA,115 ,OH , JIA
653,Qantas,QF / QFA,129 ,QF , QFA
654,QantasLink,QLK,81 ,,QLK
655,Qatar Air Cargo,QAC,18 ,,QAC
656,Qatar Airways,QR / QTR,173 ,QR , QTR
657,Qatar Airways Amiri Flight,Q4 / QAF,4 ,Q4 , QAF
658,Qeshm Airlines,QB / QSM,15 ,QB , QSM
659,Qingdao Airlines,QW / QDA,9 ,QW , QDA
660,Quest Diagnostics,LBQ,1 ,,LBQ
661,Quikjet Cargo Airlines,QO / FQA,2 ,QO , FQA
662,RAF-Avia,MTL,9 ,,MTL
663,RAK Airways,RT / RKM,3 ,RT , RKM
664,Ravenair,RVR,33 ,,RVR
665,Ravn Alaska,7H / ERH,116 ,7H , ERH
666,Ravn Alaska,7H / RVF,12 ,7H , RVF
667,Reach Air Medical Services,REH,22 ,,REH
668,Rectrix Aviation,RIX,1 ,,RIX
669,Red Wing Aeroplane,LAK,1 ,,LAK
670,Red Wings,WZ / RWZ,9 ,WZ , RWZ
671,Redding Aero Enterprises,BXR,13 ,,BXR
672,Regent Airways,RX / RGE,5 ,RX , RGE
673,Regional Express,ZL / RXA,52 ,ZL , RXA
674,Republic Airlines,RPA,139 ,,RPA
675,Rossiya,FV / SDM,62 ,FV , SDM
676,Rotana Jet Aviation,RG / RJD,4 ,RG , RJD
677,Royal Air Freight,RAX,2 ,,RAX
678,Royal Air Maroc,AT / RAM,56 ,AT , RAM
679,Royal Brunei Airlines,BI / RBA,13 ,BI , RBA
680,Royal Falcon,RFJ,4 ,,RFJ
681,Royal Flight,4R / ABG,8 ,4R , ABG
682,Royal Jordanian,RJ / RJA,35 ,RJ , RJA
683,Royal Nepal Airlines,RA / RNA,4 ,RA , RNA
684,Rubystar,RSB,10 ,,RSB
685,RusAir,CGI,2 ,,CGI
686,Rusline,7R / RLU,24 ,7R , RLU
687,Rutaca Airlines,5R / RUC,3 ,5R , RUC
688,RwandAir,WB / RWD,8 ,WB , RWD
689,Ryan Air (USA),7S / RYA,17 ,7S , RYA
690,Ryanair,FR / RYR,361 ,FR , RYR
691,S7 Airlines,S7 / SBI,66 ,S7 , SBI
692,Safair,FA / SFR,17 ,FA , SFR
693,Safi Airways,4Q / SFW,5 ,4Q , SFW
694,Saga Airlines,SGX,8 ,,SGX
695,Sansa Airlines,RZ / LRS,3 ,RZ , LRS
696,Saravia,6W / SOV,12 ,6W , SOV
697,SAS,SK / SAS,162 ,SK , SAS
698,SATA Air Acores,SP / SAT,6 ,SP , SAT
699,Satena,9R / NSE,9 ,9R , NSE
700,Saudi Arabian Airlines,SV / SVA,169 ,SV , SVA
701,SaudiGulf Airlines,6S / SGQ,3 ,6S , SGQ
702,SBA Airlines,S3 / BBR,8 ,S3 , BBR
703,SCAT,DV / VSV,16 ,DV , VSV
704,Scoot,TZ / SCO,13 ,TZ , SCO
705,Seaborne,BB / SBS,8 ,BB , SBS
706,SeaPort Airlines,K5 / SQH,2 ,K5 , SQH
707,Severstal Aircompany,D2 / SSF,10 ,D2 , SSF
708,SF Airlines,O3 / CSS,32 ,O3 , CSS
709,Shaheen Air International,NL / SAI,21 ,NL , SAI
710,Shandong Airlines,SC / CDG,99 ,SC , CDG
711,Shanghai Airlines,FM / CSH,87 ,FM , CSH
712,Shenzhen Airlines,ZH / CSZ,167 ,ZH , CSZ
713,Shuttle America,S5 / TCF,88 ,S5 , TCF
714,Siam General Aviation,5E / SGN,3 ,5E , SGN
715,Sichuan Airlines,3U / CSC,110 ,3U , CSC
716,Sierra West Airlines,P8 / PKW,4 ,P8 , PKW
717,Silk Way Airlines,ZP / AZQ,15 ,ZP , AZQ
718,Silk Way West Airlines,7L / AZG,5 ,7L , AZG
719,SilkAir,MI / SLK,32 ,MI , SLK
720,Silver Airways,3M / SIL,22 ,3M , SIL
721,Singapore Airlines,SQ / SIA,107 ,SQ , SIA
722,Singapore Airlines Cargo,SQC,11 ,,SQC
723,Sirius-Aero,CIG,12 ,,CIG
724,Sky Airline,H2 / SKU,14 ,H2 , SKU
725,Sky Angkor Airlines,ZA / SWM,6 ,ZA , SWM
726,Sky Express (Greece),GQ / SEH,7 ,GQ , SEH
727,Sky Lease 1,GG / KYE,3 ,GG , KYE
728,Sky Regional Airlines,RS / SKV,26 ,RS , SKV
729,Skybridge,KYB,1 ,,KYB
730,Skybus,IOS,8 ,,IOS
731,SkyLink Express,SLQ,5 ,,SLQ
732,Skymark Airlines,BC / SKY,28 ,BC , SKY
733,Skyservice Airlines,5G / SSV,9 ,5G , SSV
734,Skyservice Business Aviation,SYB,18 ,,SYB
735,Skytaxi,TE / IGA,3 ,TE , IGA
736,Skytrans,Q6 / SKP,8 ,Q6 , SKP
737,SkyWest Airlines,OO / SKW,366 ,OO , SKW
738,SkyWork Airlines,SX / SRK,6 ,SX , SRK
739,Small Planet Airlines,S5 / LLC,9 ,S5 , LLC
740,Small Planet Airlines Polska,P7 / LLP,11 ,P7 , LLP
741,Smart Aviation,M4 / SME,8 ,M4 , SME
742,SmartLynx,6Y / ART,10 ,6Y , ART
743,SmartLynx Airlines Estonia,MYX,2 ,,MYX
744,Sol Lineas Aereas,8R / OLS,5 ,8R , OLS
745,Solaseed Air,6J / SNJ,12 ,6J , SNJ
746,Solenta Aviation,SET,26 ,,SET
747,Solid Air,SOX,9 ,,SOX
748,Solomon Airlines,IE / SOL,1 ,IE , SOL
749,Somon Air,SZ / SMR,6 ,SZ , SMR
750,SonAir,SOR,12 ,,SOR
751,Songbird Airways,6K / SGB,3 ,6K , SGB
752,Soundsair,S8 / SDA,9 ,S8 , SDA
753,South African Airways,SA / SAA,52 ,SA , SAA
754,South African Express,XZ / EXY,24 ,XZ , EXY
755,Southern Air,9S / SOO,5 ,9S , SOO
756,Southern Airways Express,9X / LTD,3 ,9X , LTD
757,Southwest Airlines,WN / SWA,734 ,WN , SWA
758,SpiceJet,SG / SEJ,43 ,SG , SEJ
759,Spirit Airlines,NK / NKS,87 ,NK , NKS
760,Spring Airlines,9C / CQH,62 ,9C , CQH
761,Spring Airlines Japan,IJ / SJO,3 ,IJ , SJO
762,Sprint Air,P8 / SRN,19 ,P8 , SRN
763,SriLankan Airlines,UL / ALK,22 ,UL , ALK
764,Sriwijaya Air,SJ / SJY,38 ,SJ , SJY
765,STAjets,KFB,1 ,,KFB
766,Star Air (Denmark),S6 / SRR,12 ,S6 , SRR
767,Star Peru,2I / SRU,1 ,2I , SRU
768,Starbow Airlines,S9 / IKM,3 ,S9 , IKM
769,Starflyer,7G / SFJ,9 ,7G , SFJ
770,Starlink Aviation,Q4 / TLK,6 ,Q4 , TLK
771,Stobart Air,RE / STK,2 ,RE , STK
772,Stuttgarter Flugdienst,FFD,3 ,,FFD
773,Suckling Airways,CB / SAY,1 ,CB , SAY
774,Sudan Airways,SD / SUD,2 ,SD , SUD
775,Sun Country Airlines,SY / SCX,21 ,SY , SCX
776,Sun-Air,EZ / SUS,24 ,EZ , SUS
777,Sundt Air,MDT,13 ,,MDT
778,SunExpress,XQ / SXS,27 ,XQ , SXS
779,SunExpress Deutschland,XG / SXD,15 ,XG , SXD
780,Sunrise Airways,S6 / KSZ,1 ,S6 , KSZ
781,Sunwest Aviation,CNK,47 ,,CNK
782,Sunwing Airlines,WG / SWG,45 ,WG , SWG
783,Surinam Airways,PY / SLM,4 ,PY , SLM
784,Swift Air,WQ / SWQ,10 ,WQ , SWQ
785,Swiftair,WT / SWT,41 ,WT , SWT
786,Swiss,LX / SWR,85 ,LX , SWR
787,Swiss Air-Ambulance,SAZ,21 ,,SAZ
788,Syncrude Canada,SYN,1 ,,SYN
789,Syrian Air,RB / SYR,14 ,RB , SYR
790,T'way Air,TW / TWB,15 ,TW , TWB
791,TAAG Angola Airlines,DT / DTA,13 ,DT , DTA
792,Taban Air,HH / TBM,4 ,HH , TBM
793,TACA Airlines,TA / TAI,44 ,TA , TAI
794,TACV Cape Verde Airlines,VR / TCV,3 ,VR , TCV
795,TAG Aviation,VIP,54 ,,VIP
796,TAG Aviation,FP / FPG,17 ,FP , FPG
797,Tailwind Airlines,TI / TWI,7 ,TI , TWI
798,Tajik Air,7J / TJK,5 ,7J , TJK
799,TAM Linhas Aereas,JJ / TAM,161 ,JJ , TAM
800,TAME,EQ / TAE,18 ,EQ , TAE
801,TAP Express,NI / PGA,27 ,NI , PGA
802,TAP Portugal,TP / TAP,63 ,TP , TAP
803,TAR Aerolineas,YQ / LCT,9 ,YQ , LCT
804,Tarco Airlines,3T / TRQ,2 ,3T , TRQ
805,Tarom,RO / ROT,23 ,RO , ROT
806,Tassili Airlines,SF / DTH,10 ,SF , DTH
807,Tatarstan Air,U9 / TAK,4 ,U9 , TAK
808,Ten Airways,X5 / OTJ,6 ,X5 , OTJ
809,Thai AirAsia,FD / AIQ,49 ,FD , AIQ
810,Thai AirAsia X,XJ / TAX,6 ,XJ , TAX
811,Thai Airways,TG / THA,82 ,TG , THA
812,Thai Lion Air,SL / TLM,23 ,SL , TLM
813,Thai Smile,WE / THD,16 ,WE , THD
814,Thomas Cook Airlines,MT / TCX,34 ,MT , TCX
815,Thomas Cook Airlines Belgium,HQ / TCW,5 ,HQ , TCW
816,Thomas Cook Airlines Scandinavia,DK / VKG,12 ,DK , VKG
817,Thomson Airways,BY / TOM,61 ,BY , TOM
818,Thunder Airlines,THU,1 ,,THU
819,Tianjin Airlines,GS / GCR,89 ,GS , GCR
820,Tibet Airlines,TV / TBA,18 ,TV , TBA
821,Tiger Mandala,RI / MDL,8 ,RI , MDL
822,Tigerair,TR / TGW,41 ,TR , TGW
823,Tigerair Philippines,DG / SRQ,2 ,DG , SRQ
824,Tigerair Taiwan,IT / TTW,9 ,IT , TTW
825,Titan Airways,ZT / AWC,9 ,ZT , AWC
826,TNT Airways,3V / TAY,35 ,3V , TAY
827,Toll Aviation,TFX,2 ,,TFX
828,Trade Air,C3 / TDR,2 ,C3 , TDR
829,Tradewind Aviation,TJ / GPD,1 ,TJ , GPD
830,Trans Air Congo,Q8 / TSG,6 ,Q8 , TSG
831,Trans Maldivian Airways,M8 / TMW,46 ,M8 , TMW
832,Trans States Airlines,AX / LOF,61 ,AX , LOF
833,TransAsia Airways,GE / TNA,23 ,GE , TNA
834,Transavia,HV / TRA,44 ,HV , TRA
835,Transavia France,TO / TVF,26 ,TO , TVF
836,Transaviabaltika,KTB,4 ,,KTB
837,Transaviaexport Airlines,TXC,13 ,,TXC
838,Transmile Air Services,TH / TSE,3 ,TH , TSE
839,Transport Canada,TGO,49 ,,TGO
840,Transwest Air,9T / ABS,10 ,9T , ABS
841,Travel Management Company,TMC,1 ,,TMC
842,Travel Service,QS / TVS,38 ,QS , TVS
843,Trigana Air Service,IL / TGN,3 ,IL , TGN
844,TUI Airlines Netherlands,OR / TFL,13 ,OR , TFL
845,TUIfly,X3 / TUI,29 ,X3 , TUI
846,TUIfly Nordic,6B / BLX,6 ,6B , BLX
847,Tunisair,TU / TAR,32 ,TU , TAR
848,Tunisair Express,UG / TUX,2 ,UG , TUX
849,Turkish Airlines,TK / THY,332 ,TK , THY
850,Turkmenistan Airlines,T5 / TUA,32 ,T5 , TUA
851,Tus Airways,U8 / CYF,4 ,U8 , CYF
852,Twin Jet,T7 / TJT,10 ,T7 , TJT
853,Tyrol Air Ambulance,TYW,8 ,,TYW
854,Ukraine Airalliance,UKL,9 ,,UKL
855,Ukraine Int. Airlines,PS / AUI,38 ,PS , AUI
856,Ukrainian Mediterranean Airlines,UF / UKM,3 ,UF , UKM
857,ULS Airlines Cargo,GO / KZU,8 ,GO , KZU
858,Ultimate Air Shuttle,UE / UJC,10 ,UE , UJC
859,UNI Air,B7 / UIA,15 ,B7 , UIA
860,Uni-Top Airlines,UW / UTP,10 ,UW , UTP
861,United Airlines,UA / UAL,726 ,UA , UAL
862,United Airways,4H / UBD,7 ,4H , UBD
863,UPS Airlines,5X / UPS,237 ,5X , UPS
864,Ural Airlines,U6 / SVR,38 ,U6 , SVR
865,US-Bangla Airlines,BS / UBG,3 ,BS , UBG
866,USA Jet Airlines,UJ / JUS,9 ,UJ , JUS
867,UTair,UT / UTA,82 ,UT , UTA
868,Uzbekistan Airways,HY / UZB,27 ,HY , UZB
869,V Air,ZV / VAX,4 ,ZV , VAX
870,Vanilla Air,JW / VNL,9 ,JW , VNL
871,VECA Airlines,VU / VAR,2 ,VU , VAR
872,Venezolana,AW / VNE,6 ,AW , VNE
873,Veteran Airline,VTF,2 ,,VTF
874,ViaAir,VC / SRY,9 ,VC , SRY
875,VietJet Air,VJ / VJC,35 ,VJ , VJC
876,Vietnam Air Services Company,0V / VFC,3 ,0V , VFC
877,Vietnam Airlines,VN / HVN,90 ,VN , HVN
878,VIM Airlines,NN / MOV,16 ,NN , MOV
879,Virgin America,VX / VRD,63 ,VX , VRD
880,Virgin Atlantic Airways,VS / VIR,41 ,VS , VIR
881,Virgin Australia,VA / VOZ,103 ,VA , VOZ
882,Virgin Australia Regional,XR / OZW,29 ,XR , OZW
883,Vision Airlines,V2 / RBY,2 ,V2 , RBY
884,VistaJet,VJT,55 ,,VJT
885,Vistara,UK / VTI,11 ,UK , VTI
886,VivaAerobus,VB / VIV,30 ,VB , VIV
887,VivaColombia,FC / VVC,10 ,FC , VVC
888,Volaris,Y4 / VOI,62 ,Y4 , VOI
889,Volga-Dnepr Airlines,VI / VDA,19 ,VI , VDA
890,Volotea,V7 / VOE,23 ,V7 , VOE
891,Voyageur Airways,VC / VAL,5 ,VC , VAL
892,Vueling,VY / VLG,110 ,VY , VLG
893,Wamos Air,EB / PLM,5 ,EB , PLM
894,Warbelows Air Ventures,4W / WAV,6 ,4W , WAV
895,Wasaya Airways,WT / WSG,24 ,WT , WSG
896,WDL Aviation,WDL,2 ,,WDL
897,Welcome Air,2W / WLC,1 ,2W , WLC
898,West Air Sweden,SWN,40 ,,SWN
899,West Wind Aviation,WEW,33 ,,WEW
900,WestJet,WS / WJA,118 ,WS , WJA
901,WestJet Encore,WR / WEN,30 ,WR , WEN
902,White,WI / WHT,5 ,WI , WHT
903,Wideroe,WF / WIF,41 ,WF , WIF
904,Wiggins Airways,WIG,16 ,,WIG
905,Winair,WM / WIA,1 ,WM , WIA
906,Windrose Airlines,7W / WRC,6 ,7W , WRC
907,Wings Air,IW / WON,48 ,IW , WON
908,Wings of Lebanon,W7 / WLB,1 ,W7 , WLB
909,Wizz Air,W6 / WZZ,71 ,W6 , WZZ
910,World Atlantic Airlines,K8 / WAL,7 ,K8 , WAL
911,WOW Air,WW / WOW,11 ,WW , WOW
912,Xiamen Airlines,MF / CXA,145 ,MF , CXA
913,XL Airways France,SE / XLF,5 ,SE , XLF
914,Xtra Airways,XP / CXP,10 ,XP , CXP
915,Yakutia Airlines,R3 / SYL,11 ,R3 , SYL
916,Yamal Airlines,YC / LLM,31 ,YC , LLM
917,YanAir,YE / ANR,7 ,YE , ANR
918,Yangtze River Express,Y8 / YZR,25 ,Y8 , YZR
919,Yemenia,IY / IYE,5 ,IY , IYE
920,Yeti Airlines,YT / NYT,2 ,YT , NYT
921,Zagros Airlines,ZO / IZG,18 ,ZO , IZG
922,ZagrosJet,Z4 / GZQ,1 ,Z4 , GZQ
